2019-04-21 22:12:29,540 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-21 22:13:59,290 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-21 22:14:28,131 [Worker-16: Creating project "holaMundo"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: co.foo:holaMundo:0.0.1-SNAPSHOT @ C:\Users\Freyder\Documents\dev\java\Spring5(Boot+Restful)\ws\holaMundo\pom.xml.
2019-04-21 22:14:31,357 [Worker-16: Creating project "holaMundo"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /holaMundo/src/main/java
2019-04-21 22:14:31,359 [Worker-16: Creating project "holaMundo"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /holaMundo/src/main/resources
2019-04-21 22:14:31,360 [Worker-16: Creating project "holaMundo"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /holaMundo/src/test/java
2019-04-21 22:14:31,361 [Worker-16: Creating project "holaMundo"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /holaMundo/src/test/resources
2019-04-21 22:14:34,983 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:14:34,992 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:14:34,994 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:14:34,997 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:14:58,698 [Worker-3: Building Project holaMundo] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:14:58,701 [Worker-3: Building Project holaMundo] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:14:58,703 [Worker-3: Building Project holaMundo] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:14:58,706 [Worker-3: Building Project holaMundo] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:15:35,151 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:15:35,156 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:15:35,159 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:15:35,162 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:15:36,384 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:15:36,387 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-21 22:15:36,389 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 22:15:36,393 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
